Sno,date_time,T_data_1_1,T_data_1_2,T_data_1_3,T_data_2_1,T_data_2_2,T_data_2_3,T_data_3_1,T_data_3_2,T_data_3_3,T_data_4_1,T_data_4_2,T_data_4_3,T_data_5_1,T_data_5_2,T_data_5_3,H_data,AH_data
57,01-01-2015 02:35,234,188,209,292,335,334,508,493,486,357,343,344,238,230,239,162.65,6.03
58,01-01-2015 02:36,235,189,209,292,338,333,508,493,486,357,343,344,238,230,239,162.67,6.03
59,01-01-2015 02:37,236,189,209,292,342,332,507,493,486,356,343,344,238,230,239,166.66,6.03
60,01-01-2015 02:38,237,190,209,293,345,332,506,493,485,356,343,344,238,230,239,159.44,6.03
61,01-01-2015 02:39,238,190,209,293,349,331,505,493,485,356,343,344,237,230,239,167.77,6.03
62,01-01-2015 02:40,239,191,209,293,352,331,505,493,485,355,343,344,237,230,239,162.51,6.03
63,01-01-2015 02:41,240,191,209,294,356,330,504,493,485,355,343,344,237,230,239,167.28,6.03
64,01-01-2015 02:42,241,192,209,294,360,330,503,493,485,355,343,344,237,230,239,159.71,6.03
65,01-01-2015 02:43,242,192,209,295,363,330,502,493,485,354,343,344,237,230,239,167.1,6.03
66,01-01-2015 02:44,243,193,209,295,367,329,501,493,484,354,343,344,237,231,239,167.87,6.03
67,01-01-2015 02:45,244,194,209,296,370,329,500,493,484,353,343,344,237,231,239,162.47,6.03
68,01-01-2015 02:46,245,194,209,296,371,329,499,493,484,353,343,344,236,231,239,166.22,6.03
69,01-01-2015 02:47,246,195,209,296,371,329,499,493,484,352,343,344,236,231,239,164.78,6.03
70,01-01-2015 02:48,247,196,210,297,368,329,498,493,484,352,343,345,236,231,239,165.44,6.03
71,01-01-2015 02:49,247,197,210,297,364,329,497,492,484,352,343,345,236,232,238,165.55,6.03
72,01-01-2015 02:50,248,197,210,298,358,329,496,492,484,351,343,345,236,232,238,163.63,6.03
73,01-01-2015 02:51,248,198,210,298,350,329,495,492,483,351,343,345,236,232,238,166.52,6.03
74,01-01-2015 02:52,249,199,210,299,341,329,494,492,483,350,343,345,236,232,238,165.59,6.03
75,01-01-2015 02:53,249,200,210,299,331,329,493,491,483,350,343,345,236,233,238,167.24,6.03
76,01-01-2015 02:54,249,201,210,300,322,329,492,491,483,350,343,345,236,233,238,166,6.03
77,01-01-2015 02:55,249,202,211,300,313,329,491,491,483,349,344,345,235,233,238,164.72,6.03
78,01-01-2015 02:56,249,203,211,301,304,329,490,490,483,349,344,345,235,234,238,161.99,6.03
79,01-01-2015 02:57,249,204,211,302,296,330,489,490,483,348,344,345,235,234,238,165.88,6.03
80,01-01-2015 02:58,249,205,211,302,287,330,488,489,483,348,344,346,235,234,238,167.7,6.03
81,01-01-2015 02:59,248,206,211,303,279,331,487,489,483,347,344,346,235,235,238,165.59,6.03
82,01-01-2015 03:00,248,207,212,303,271,331,486,488,482,347,344,346,235,235,238,163.84,8.36
83,01-01-2015 03:01,248,208,212,304,263,331,485,488,482,347,345,346,235,235,237,164.69,8.36
84,01-01-2015 03:02,247,210,212,304,256,332,484,488,482,346,345,346,235,236,237,166.28,8.36
85,01-01-2015 03:03,246,211,212,305,248,333,483,487,482,346,345,346,235,236,237,165.3,8.36
86,01-01-2015 03:04,245,212,212,306,241,333,482,486,482,345,345,346,235,236,237,166.4,8.36
87,01-01-2015 03:05,244,213,213,306,234,334,480,486,482,345,345,346,235,236,237,166.26,8.36
88,01-01-2015 03:06,243,215,213,307,227,335,479,485,482,344,346,346,235,237,237,165.53,8.36
89,01-01-2015 03:07,242,216,213,308,221,335,478,485,482,344,346,347,235,237,237,164.11,8.36
90,01-01-2015 03:08,241,217,214,308,214,336,477,484,482,344,346,347,235,237,237,168.35,8.36
91,01-01-2015 03:09,240,218,214,309,208,336,476,483,482,343,346,347,235,237,237,165.02,8.36
92,01-01-2015 03:10,238,220,214,310,202,337,475,483,482,343,347,347,235,238,237,162.41,8.36
93,01-01-2015 03:11,237,221,214,310,196,338,474,482,481,342,347,347,235,238,236,164.24,8.36
94,01-01-2015 03:12,235,222,215,311,191,338,472,481,481,342,347,347,235,238,236,166.38,8.36
95,01-01-2015 03:13,234,222,215,312,185,339,471,481,481,342,348,347,235,238,236,165.86,8.36
96,01-01-2015 03:14,232,223,215,312,180,339,470,480,481,341,348,347,235,239,236,164.7,8.36
97,01-01-2015 03:15,230,224,216,313,175,340,469,479,481,341,348,348,235,239,236,164.95,8.36
98,01-01-2015 03:16,228,224,216,314,170,340,468,479,481,341,349,348,235,239,236,165.05,8.36
99,01-01-2015 03:17,226,225,216,314,165,341,467,478,481,340,349,348,235,239,236,166,8.36
100,01-01-2015 03:18,224,225,217,315,161,341,466,477,481,340,349,348,235,239,236,166.19,8.36
