Sno,T_data_1_1,T_data_1_2,T_data_1_3,T_data_2_1,T_data_2_2,T_data_2_3,T_data_3_1,T_data_3_2,T_data_3_3,T_data_4_1,T_data_4_2,T_data_4_3,T_data_5_1,T_data_5_2,T_data_5_3,H_data,AH_data
88,209,206,213,289,267,353,530,475,491,344,356,343,235,239,237,165.85,7.82
89,209,206,213,289,266,354,530,475,491,345,356,343,235,239,237,162.56,7.82
90,209,206,213,288,265,354,530,475,491,346,355,343,235,239,237,166.02,7.82
91,209,205,213,288,264,355,531,475,491,347,355,343,235,239,237,164.06,7.82
92,209,205,213,288,263,355,531,475,491,348,355,343,235,239,237,162.84,7.82
93,209,205,213,288,262,355,531,475,491,350,355,343,235,239,237,165.79,7.82
94,209,204,213,287,261,356,531,475,491,351,355,343,235,239,237,163.92,7.82
95,209,204,213,287,260,356,531,475,491,352,355,343,235,239,237,166.24,7.82
96,210,204,213,287,260,357,531,475,491,353,355,343,235,239,238,163.9,7.82
97,210,203,213,287,259,357,531,475,491,353,355,343,236,239,238,162.6,7.82
98,210,203,213,287,258,358,531,476,491,354,355,343,236,239,238,164.95,7.82
99,210,203,213,286,258,358,531,476,491,355,354,343,236,239,238,164.17,7.82
